# Logfile created on 2014-05-25 20:05:42 -0500 by logger.rb/31641
W, [2014-05-25T21:16:49.864219 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t1-1 is not assigned to a portgroup
W, [2014-05-25T21:16:49.864298 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpss11-1 is not assigned to a portgroup
W, [2014-05-25T21:16:49.864375 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvcdb11 is not assigned to a portgroup
W, [2014-05-25T21:16:49.864462 #15568]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvcinv11 is not assigned to a portgroup
W, [2014-05-25T21:16:49.868407 #15568]  WARN -- VcenterConnect#rescue in block in hostsystem_output: undefined method `portKey' for nil:NilClass - corpesxamp11.test.syncopatedtech.com be havin a problem with vnics
W, [2014-05-25T21:16:49.872394 #15568]  WARN -- VcenterConnect#rescue in block in hostsystem_output: undefined method `portKey' for nil:NilClass - corpesxdmzt02a.test.syncopatedtech.com be havin a problem with vnics
I, [2014-05-25T21:16:52.623909 #15568]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa3t1 based on filterSpec
I, [2014-05-25T21:29:54.991951 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa0t1 based on filterSpec
I, [2014-05-25T21:30:19.617912 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:30:19.971611 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - tufin13 is not assigned to a portgroup
I, [2014-05-25T21:30:23.299240 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from vcsa0t2 based on filterSpec
I, [2014-05-25T21:30:46.855053 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:30:46.943338 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - test03 is not assigned to a portgroup
W, [2014-05-25T21:30:46.985580 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - tufin14 is not assigned to a portgroup
I, [2014-05-25T21:30:49.083898 #16463]  INFO -- VcenterConnect#get_vcenter_data: gathering info from corpvcms11 based on filterSpec
I, [2014-05-25T21:30:50.493018 #16463]  INFO -- VcenterConnect#get_vcenter_data: results retrieved, sorting...
W, [2014-05-25T21:30:50.494840 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpisilon11_3.0 is not assigned to a portgroup
W, [2014-05-25T21:30:50.494970 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvcsso11 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495079 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t2-2 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495186 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpss12-1 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495302 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t2-1 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495407 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvums11 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495553 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpdcnm11 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495662 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpssz11-2 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495765 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t3-1 is not assigned to a portgroup
W, [2014-05-25T21:30:50.495948 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t3-2 is not assigned to a portgroup
W, [2014-05-25T21:30:50.496067 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpss13-1 is not assigned to a portgroup
W, [2014-05-25T21:30:50.496347 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corparms11 is not assigned to a portgroup
W, [2014-05-25T21:30:50.496482 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t4-2 is not assigned to a portgroup
W, [2014-05-25T21:30:50.496605 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - ss0t4-1 is not assigned to a portgroup
W, [2014-05-25T21:30:50.496703 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpuims11 is not assigned to a portgroup
W, [2014-05-25T21:30:50.496815 #16463]  WARN -- VcenterConnect#rescue in block in virt_machine_output: undefined method `[]' for nil:NilClass - corpvcms11 is not assigned to a portgroup
